GEOID,within_dfo,within_aer,sel_sa_tracts
48453001707,1,1,1
48029130300,1,NA,1
48029130500,1,NA,1
48029130600,1,NA,1
48029130700,1,NA,1
48029131000,1,NA,1
48453001712,1,1,1
48453001713,1,1,1
48453001718,1,1,1
48029121404,1,NA,1
48029121501,1,NA,1
48029121504,1,NA,1
48029121507,1,NA,1
48029121508,1,NA,1
48029121601,1,NA,1
48053960600,1,NA,1
48053960700,1,NA,1
48053960200,1,NA,1
48053960300,1,NA,1
48053960500,1,NA,1
48053960100,1,NA,NA
48053960400,1,NA,1
48053960800,1,NA,1
48453001716,1,1,1
48453001747,1,1,1
48453001823,1,1,1
48453002307,1,1,1
48453001908,1,1,1
48453001719,1,1,1
48453001722,1,1,1
48453001728,1,1,1
48453001729,1,1,1
48409010500,1,1,1
48029131504,1,NA,1
48029980004,1,NA,1
48029121604,1,NA,1
48029121802,1,NA,NA
48185180302,1,1,1
48185180101,1,1,1
48185180200,1,1,1
48185180102,1,1,1
48321730700,1,1,1
48321730400,1,1,1
48321730100,1,1,1
48321730501,1,1,1
48321730600,1,1,1
48453001746,1,1,1
48453001765,1,1,1
48453001737,1,1,1
48453001766,1,1,1
48453002003,1,1,1
48453001819,1,1,1
48453001714,1,1,1
48453001748,1,1,1
48453001901,1,1,1
48453002402,1,1,1
48453000101,1,1,1
48453002313,1,1,1
48453000700,1,1,1
48453001849,1,1,1
48453002421,1,1,1
48453001604,1,1,1
48453001910,1,1,1
48453002407,1,1,1
48453002315,1,1,1
48453001308,1,1,1
48453001911,1,1,1
48453001761,1,1,1
48453001755,1,1,1
48029191816,1,NA,1
48453001733,1,1,1
48453001738,1,1,1
48453001741,1,1,1
48409010700,1,1,1
48409010603,1,1,1
48409010601,1,1,1
48409011000,1,1,1
48409010900,1,1,1
48409011300,1,1,1
48409011200,1,1,1
48029121120,1,NA,1
48029191303,1,NA,1
48057000400,1,1,1
48057000300,1,1,1
48057000200,1,1,1
48057000100,1,1,1
48167721700,1,1,1
48167722100,1,1,1
48167722300,1,1,1
48167722600,1,1,1
48167722700,1,1,1
48247950200,1,NA,1
48139060500,NA,NA,NA
48139060600,NA,NA,NA
48139061400,NA,NA,NA
48041001301,1,1,1
48041001303,1,1,1
48041001400,1,1,1
48041002015,1,1,1
48041001601,1,1,1
48041001604,1,1,1
48321730202,1,1,1
48321730302,1,1,1
48321730201,1,1,1
48355003002,1,1,1
48355003101,1,1,1
48469000201,1,1,1
48469000202,1,1,1
48469000301,1,1,1
48469000302,1,1,1
48469000400,1,1,1
48245990000,1,1,1
48029121000,1,NA,1
48469000501,1,1,1
48469000601,1,1,1
48469000602,1,1,1
48469001501,1,1,1
48029161400,1,NA,1
48029190700,1,NA,1
48029110100,1,NA,1
48029120800,1,NA,1
48041001804,1,1,1
48041002006,1,1,1
48041000102,1,1,1
48041000103,1,1,1
48041002014,1,1,1
48041002012,1,1,1
48041001701,1,1,1
48041001702,1,1,1
48041001606,1,1,1
48469001601,1,1,1
48469001604,1,1,1
48469001605,1,1,1
48029120701,1,NA,1
48029120901,1,NA,1
48029120702,1,NA,1
48029120902,1,NA,1
