fid,GEOID,NLCD16_WA,DFOfloodArea,DFOfRatio,within_dfo,within_aer,population,fldPopDFO,fldPopPctDFO,Shape_Area
244,48457950300,27229.76103,,,1,1,2105,0,0,12268953.5
245,48457950400,11357435.93,332112.8735,0.000498197,1,1,4951,0,0,677987516.4
246,48457950500,493266.1997,,,1,1,2692,0,0,393232037.3
247,48457950100,10642226.04,898696.5663,0.001234647,1,,2792,0,0,738539942.6
248,48479001001,0,,,1,,4362,0,0,1719002.02
249,48479001501,0,,,1,,2477,0,0,862520.3166
250,48479000300,5389.923068,,,1,,2279,0,0,706633.6941
251,48479000101,0,,,1,,4374,0,0,1966472.953
252,48015760502,3290676.67,68749713.35,0.322583586,1,1,5134,143,0.027853526,216412845.3
253,48015760501,1925972.845,10400992.37,0.03648559,1,1,4678,45,0.009619496,286997225.5
254,48265960301,1678474.809,1648539.107,0.001923533,1,,3248,10,0.003078818,858715356.3
255,48265960302,844431.5443,945853.2681,0.000864863,1,,6863,0,0,1094489654
256,48265960402,443719.1881,,,1,,5079,0,0,43503348.93
257,48423000300,0,,,,,4779,0,0,9542502.912
258,48423000500,0,,,1,,1760,0,0,2372798.872
259,48423000600,0,,,,,1910,0,0,5298494.78
260,48423001401,0,,,,,7736,0,0,284827299.4
261,48423000100,0,,,,,5241,0,0,6705231.167
262,48423001802,9103.525352,,,,,7570,0,0,64189403.28
263,48423001700,0,,,,,8021,0,0,124570024.6
264,48361021502,154853.4779,,,1,1,6481,0,0,85155551.96
265,48361021501,26442.36817,904706.6654,0.030688485,1,1,2354,8,0.003398471,29506771.77
266,48059030102,1188049.958,,,,,,,,857759866.6
267,48479000200,23901.84801,,,1,,3784,0,0,2450713.13
268,48479001900,100179.7634,,,1,,2970,0,0,3461690.783
269,48423000201,0,,,,,3305,0,0,4955035.267
270,48423002007,206996.7554,,,1,,7356,0,0,40039970.67
271,48423002009,3575572.454,80532.71766,0.003009691,1,,7657,10,0.001305995,30333378.22
272,48423001801,64149.32583,,,,,5623,0,0,313842122.7
273,48423000202,0,,,,,1578,0,0,1595250.316
274,48423001602,881198.3522,,,1,,3676,0,0,62006957.56
275,48423001500,0,,,,,4914,0,0,339481683.6
276,48423002008,177867.2447,,,1,,5997,0,0,29470582.04
277,48423001601,0,,,,,5834,0,0,117756541.7
278,48423000400,0,,,1,,2109,0,0,2756283.168
279,48423002200,796629.4859,,,1,,5596,0,0,88417655.68
280,48423000700,0,,,1,,3470,0,0,8159973.436
281,48423000900,0,,,1,,3349,0,0,3997793.019
282,48423001000,0,,,1,,4808,0,0,5087604.191
283,48423001101,0,,,1,,3326,0,0,3710166.121
284,48423001102,0,,,1,,2335,0,0,2764206.479
285,48423001200,0,,,1,,2939,0,0,3355293.289
286,48311950100,35874349.68,5238159.297,0.001772578,1,,472,2,0.004237288,2990981969
287,48423001803,0,,,1,,3969,0,0,6027779.771
288,48423001901,0,,,1,,5371,0,0,3667957.515
289,48423002003,0,,,1,,3412,0,0,2130086.664
290,48423002004,0,,,1,,2241,0,0,3471867.994
291,48423002006,0,,,1,,3253,0,0,4403703.077
292,48423001300,0,,,1,,2044,0,0,2329356.538
293,48423000800,0,,,1,,4875,0,0,3416369.421
294,48265960401,10987.58148,,,1,,1833,0,0,12123111.26
295,48479000700,0,,,1,,2793,0,0,1149621.205
296,48479000800,0,,,1,,2382,0,0,843070.4009
297,48479000901,0,,,1,,4648,0,0,1693243.137
298,48059030101,0,,,,,,,,18890342.91
299,48201333100,0,309927.3338,0.249327123,1,1,4051,605,0.149345841,1243055.003
300,48201350200,0,149780.2759,0.042419739,1,1,7814,0,0,3530909.952
301,48201350300,0,,,1,1,6225,0,0,2273745.493
